Table,Strain,Treatment,Count
NumPupaeDay7Tr1,wB,Control,7
NumPupaeDay7Tr1,wB,Control,0
NumPupaeDay7Tr1,wB,Control,25
NumPupaeDay7Tr1,wB,Alcohol,2
NumPupaeDay7Tr1,wB,Alcohol,7
NumPupaeDay7Tr1,wB,Alcohol,6
NumPupaeDay7Tr1,wB,Nicotine,1
NumPupaeDay7Tr1,wB,Nicotine,0
NumPupaeDay7Tr1,wB,Nicotine,0
NumPupaeDay7Tr1,wB,Nicotine,0
NumPupaeDay7Tr1,wB,Nicotine,0
NumPupaeDay7Tr1,2-3wB,Control,9
NumPupaeDay7Tr1,2-3wB,Control,24
NumPupaeDay7Tr1,2-3wB,Control,17
NumPupaeDay7Tr1,2-3wB,Alcohol,4
NumPupaeDay7Tr1,2-3wB,Alcohol,4
NumPupaeDay7Tr1,2-3wB,Alcohol,1
NumPupaeDay7Tr1,2-3wB,Nicotine,0
NumPupaeDay7Tr1,2-3wB,Nicotine,0
NumPupaeDay7Tr1,2-3wB,Nicotine,0
NumPupaeDay7Tr1,2-3wB,Nicotine,0
NumPupaeDay7Tr1,5-131wB,Control,4
NumPupaeDay7Tr1,5-131wB,Control,3
NumPupaeDay7Tr1,5-131wB,Control,7
NumPupaeDay7Tr1,5-131wB,Alcohol,1
NumPupaeDay7Tr1,5-131wB,Alcohol,3
NumPupaeDay7Tr1,5-131wB,Alcohol,3
NumPupaeDay7Tr1,5-131wB,Nicotine,0
NumPupaeDay7Tr1,5-131wB,Nicotine,0
NumPupaeDay7Tr1,5-131wB,Nicotine,0
NumPupaeDay7Tr1,5-131wB,Nicotine,0
NumPupaeDay7Tr1,11-96wB,Control,35
NumPupaeDay7Tr1,11-96wB,Control,35
NumPupaeDay7Tr1,11-96wB,Control,47
NumPupaeDay7Tr1,11-96wB,Alcohol,7
NumPupaeDay7Tr1,11-96wB,Alcohol,23
NumPupaeDay7Tr1,11-96wB,Alcohol,13
NumPupaeDay7Tr1,11-96wB,Nicotine,1
NumPupaeDay7Tr1,11-96wB,Nicotine,1
NumPupaeDay7Tr1,11-96wB,Nicotine,0
NumPupaeDay14Tr1,wB,Control,49
NumPupaeDay14Tr1,wB,Control,7
NumPupaeDay14Tr1,wB,Control,53
NumPupaeDay14Tr1,wB,Alcohol,42
NumPupaeDay14Tr1,wB,Alcohol,26
NumPupaeDay14Tr1,wB,Alcohol,46
NumPupaeDay14Tr1,wB,Nicotine,19
NumPupaeDay14Tr1,wB,Nicotine,42
NumPupaeDay14Tr1,wB,Nicotine,4
NumPupaeDay14Tr1,wB,Nicotine,19
NumPupaeDay14Tr1,wB,Nicotine,25
NumPupaeDay14Tr1,2-3wB,Control,43
NumPupaeDay14Tr1,2-3wB,Control,29
NumPupaeDay14Tr1,2-3wB,Control,45
NumPupaeDay14Tr1,2-3wB,Alcohol,43
NumPupaeDay14Tr1,2-3wB,Alcohol,64
NumPupaeDay14Tr1,2-3wB,Alcohol,60
NumPupaeDay14Tr1,2-3wB,Nicotine,25
NumPupaeDay14Tr1,2-3wB,Nicotine,40
NumPupaeDay14Tr1,2-3wB,Nicotine,18
NumPupaeDay14Tr1,2-3wB,Nicotine,37
NumPupaeDay14Tr1,5-131wB,Control,0
NumPupaeDay14Tr1,5-131wB,Control,0
NumPupaeDay14Tr1,5-131wB,Control,7
NumPupaeDay14Tr1,5-131wB,Alcohol,22
NumPupaeDay14Tr1,5-131wB,Alcohol,5
NumPupaeDay14Tr1,5-131wB,Alcohol,1
NumPupaeDay14Tr1,5-131wB,Nicotine,1
NumPupaeDay14Tr1,5-131wB,Nicotine,0
NumPupaeDay14Tr1,5-131wB,Nicotine,0
NumPupaeDay14Tr1,5-131wB,Nicotine,4
NumPupaeDay14Tr1,11-96wB,Control,40
NumPupaeDay14Tr1,11-96wB,Control,32
NumPupaeDay14Tr1,11-96wB,Control,36
NumPupaeDay14Tr1,11-96wB,Alcohol,32
NumPupaeDay14Tr1,11-96wB,Alcohol,59
NumPupaeDay14Tr1,11-96wB,Alcohol,48
NumPupaeDay14Tr1,11-96wB,Nicotine,15
NumPupaeDay14Tr1,11-96wB,Nicotine,39
NumPupaeDay14Tr1,11-96wB,Nicotine,34
