stage,day,strain,treatment,count,vial,sex,trial
pupae,7,wB,control,9,1,,1
pupae,7,wB,control,36,2,,1
pupae,7,wB,control,25,3,,1
pupae,7,wB,alcohol,13,1,,1
pupae,7,wB,alcohol,2,2,,1
pupae,7,wB,alcohol,13,3,,1
pupae,7,wB,nicotine,2,1,,1
pupae,7,wB,nicotine,0,2,,1
pupae,7,wB,nicotine,0,3,,1
pupae,7,wB,nicotine,0,4,,1
pupae,7,wB,nicotine,3,5,,1
pupae,7,2-3wB,control,12,1,,1
pupae,7,2-3wB,control,17,2,,1
pupae,7,2-3wB,control,14,3,,1
pupae,7,2-3wB,alcohol,6,1,,1
pupae,7,2-3wB,alcohol,1,2,,1
pupae,7,2-3wB,alcohol,0,3,,1
pupae,7,2-3wB,nicotine,0,1,,1
pupae,7,2-3wB,nicotine,0,2,,1
pupae,7,2-3wB,nicotine,0,3,,1
pupae,7,2-3wB,nicotine,0,4,,1
pupae,7,w14864,control,52,1,,1
pupae,7,w14864,control,64,2,,1
pupae,7,w14864,control,62,3,,1
pupae,7,w14864,alcohol,12,1,,1
pupae,7,w14864,alcohol,20,2,,1
pupae,7,w14864,alcohol,11,3,,1
pupae,7,w14864,nicotine,0,1,,1
pupae,7,w14864,nicotine,1,2,,1
pupae,7,w14864,nicotine,0,3,,1
pupae,7,w14864,nicotine,0,4,,1
pupae,14,wB,control,111,1,,1
pupae,14,wB,control,70,2,,1
pupae,14,wB,control,91,3,,1
pupae,14,wB,alcohol,74,1,,1
pupae,14,wB,alcohol,63,2,,1
pupae,14,wB,alcohol,57,3,,1
pupae,14,wB,nicotine,46,1,,1
pupae,14,wB,nicotine,59,2,,1
pupae,14,wB,nicotine,44,3,,1
pupae,14,wB,nicotine,55,4,,1
pupae,14,wB,nicotine,58,5,,1
pupae,14,2-3wB,control,101,1,,1
pupae,14,2-3wB,control,110,2,,1
pupae,14,2-3wB,control,108,3,,1
pupae,14,2-3wB,alcohol,90,1,,1
pupae,14,2-3wB,alcohol,84,2,,1
pupae,14,2-3wB,alcohol,80,3,,1
pupae,14,2-3wB,nicotine,71,1,,1
pupae,14,2-3wB,nicotine,67,2,,1
pupae,14,2-3wB,nicotine,75,3,,1
pupae,14,2-3wB,nicotine,71,4,,1
pupae,14,w14864,control,127,1,,1
pupae,14,w14864,control,114,2,,1
pupae,14,w14864,control,110,3,,1
pupae,14,w14864,alcohol,107,1,,1
pupae,14,w14864,alcohol,107,2,,1
pupae,14,w14864,alcohol,101,3,,1
pupae,14,w14864,nicotine,48,1,,1
pupae,14,w14864,nicotine,47,2,,1
